,parentid,username,userid,context,time,vote
13,74584944,Blitva,4852315,"Edit: Figured it out. The mistake was that I was doing cleanup like so return () => newSocket.close(); and consequently returning a Socket<DefaultEventsMap, DefaultEventsMap> type.
Solution was to make the newsocket.close() call inside of curly braces so that the return value remains void, like so:
return () => {
  newSocket.close();
};
Would appreciate any further elaboration if my interpretation is faulty here.",2022-11-26 19:20:58Z,0
14,74584942,,,,,
15,74584940,,,,,
16,74584939,,,,,
17,74584938,page note found,page note found,page note found,page note found,page note found
18,74584937,,,,,
19,74584935,Dead Fox,20609023,"The recursive call inside the last 2 if statements should have:
R.getLeftChild() and R.getRightChild()
instead of:
root.getLeftChild() and root.getRightChild()",2022-11-26 20:33:38Z,0
20,74584931,,,,,
21,74584930,chqrlie,4593267,"The c array is defined as a local variable in both the display and the data_entry_of_customers functions. The values entered are lost when the function returns and the contents of c in the display function are indeterminate producing undefined behavior (garbage output).
The program may seem to behave as expected if, by chance, the position and contents of the c array in both functions happens to be the same.
You should more the definition of the array to the main function and pass it to data_entry_of_customers() and display().
Here is a modified version:
#include <stdio.h>
#include <stdlib.h>
#include <string.h>

typedef struct Customer {
    char name[20];
    int date;
    int month;
    int year;
    int amount;
    int type_of_account;
} cus;

void display(int n, cus c[n]);
void data_entry_of_customers(int n, cus c[n]);

int main() {
    int n, choices;

    printf(""\n Enter the number of customers : "");
    if (scanf(""%d"", &n) != 1)
        return 1;
    cus cus_array[n];

    for (;;) {
        printf(""\n Enter your choice :"");
        if (scanf(""%d"", &choices) != 1)
            break;

        switch (choices) {
        case 1:
            data_entry_of_customers(n, cus_array);
            break;

        case 2:
            display(n, cus_array);
            break;

        case 3:
            return 0;

        default:
            printf(""\n Invalid Choice\n"");
            break;
        }
    }
    return 0;
}

void data_entry_of_customers(int n, cus c[n]) {
    for (int i = 0; i < n; i++) {
        printf(""\n Enter the name of the customer%d : "", i + 1);
        scanf(""%19s"", c[i].name);
        printf(""\n Enter the date when the account was opened by customer : "");
        scanf(""%d"", &c[i].date);
        printf(""\n Enter the month when the account was opened by customer : "");
        scanf(""%d"", &c[i].month);
        printf(""\n Enter the year when the account was opened by customer : "");
        scanf(""%d"", &c[i].year);
        printf(""\n Enter the amount deposited by the customer : "");
        scanf(""%d"", &c[i].amount);
    }
}

void display(int n, cus c[n]) {
    for (int i = 0; i < n; i++) {
        printf(""\n The name of the customer%d is %s"", i + 1, c[i].name);
        printf(""\n The date-month-year when the account was opened by customer%d is %d-%d-%d"", i + 1, c[i].date, c[i].month, c[i].year);
        printf(""\n The amount when the account was opened by customer%d is %d"", i + 1, c[i].amount);
        printf(""\n"");
    }
}
Note these remarks:
void display(int n, cus c[n]); defines a function that receives an int and a pointer to an array of cus structures. The prototype is equivalent to: void display(int n, cus c[]); and void display(int n, cus *c);... A possible improvement is to specify that the cus structures are not modified by the display function, thus change the prototype to void display(int n, const cus *c);
the return value of scanf should be tested to detect and handle invalid input. Writing separate functions to read a string and an integer would help make the code more reliable and readable.
Here is an alternate approach:
#include <stdio.h>
#include <stdlib.h>
#include <string.h>

typedef struct Customer {
    char name[20];
    int date;
    int month;
    int year;
    int amount;
    int type_of_account;
} cus;

char *enter_string(const char *prompt, char *dest, size_t size);
int enter_int(const char *prompt, int min, int max);

void display(int n, const cus *c);
void data_entry_of_customers(int n, cus *c);

int main() {
    int n = enter_int(""Enter the number of customers"", 1, 1000);
    cus cus_array[n];

    for (;;) {
        switch (enter_int(""Enter your choice"", 1, 3)) {
        case 1:
            data_entry_of_customers(n, cus_array);
            break;

        case 2:
            display(n, cus_array);
            break;

        case 3:
            return 0;
        }
    }
}

char *enter_string(const char *prompt, char *dest, size_t size) {
    int c;
    size_t i = 0;

    printf(""%s: "", prompt);
    fflush(stdout);
    while ((c = getchar()) != EOF && c != '\n') {
        if (i + 1 < size) {
            dest[i++] = (char)c;
        }
    }
    printf(""\n"");
    if (i == 0 && c == EOF) {
        printf(""unexpected end of file\n"");
        exit(1);
    }
    if (i < size)
        dest[i] = '\0';
    return dest;
}

int enter_int(const char *prompt, int min, int max) {
    int c, res, value;

    for (;;) {
        printf(""%s: "", prompt);
        fflush(stdout);
        res = scanf(""%d"", &value);
        while ((c = getchar()) != EOF && c != '\n')
            continue;
        printf(""\n"");
        if (res == 1) {
            if (value >= min && value <= max)
                return value;
            printf(""invalid value, must be between %d and %d\n"", min, max);
        } else {
            if (c == EOF) {
                printf(""unexpected end of file\n"");
                exit(1);
            }
            printf(""invalid input, enter a number between %d and %d\n"", min, max);
        }
    }
}

void data_entry_of_customers(int n, cus *c) {
    char prompt[80];
    for (int i = 0; i < n; i++) {
        snprintf(prompt, sizeof prompt, ""Enter the name of the customer%d"", i + 1);
        enter_string(prompt, c[i].name, sizeof(c[i].name));
        c[i].date = enter_int(""Enter the date when the account was opened by customer"",
                              1, 31);
        c[i].month = enter_int(""Enter the month when the account was opened by customer"",
                               1, 12);
        c[i].year = enter_int(""Enter the year when the account was opened by customer"",
                              1900, 2100);
        c[i].amount = enter_int(""Enter the amount disposited by the customer"",
                                0, 1000000000);
    }
}

void display(int n, const cus *c) {
    for (int i = 0; i < n; i++) {
        printf(""The name of the customer%d is %s\n"", i + 1, c[i].name);
        printf(""The date-month-year when the account was opened by customer%d is %d-%d-%d\n"",
               i + 1, c[i].date, c[i].month, c[i].year);
        printf(""The amount when the account was opened by customer%d is %d\n"",
               i + 1, c[i].amount);
        printf(""\n"");
    }
}",2022-11-27 15:01:01Z,3
22,74584928,,,,,
23,74584926,Chris Hamilton,12914833,"You can get whether the checkbox is checked through e.target.checked rather than using a state variable. You also don't need to attach a value, you can just pass it directly, not that it matters.
Since you're filtering on multiple elements, this pattern isn't going to work either. You'll need to save all of your filters so you can remove one but keep the others when the box is unchecked. I like to use a Set for this purpose. You can then just filter the products on that set.
You also don't need to use state variables for constants that don't change.
Also, your ids and htmlFors need to be unique, or clicking on a label will always select the first box. It's simpler just to wrap the input with the label so you don't need to worry about it.
Stackblitz: https://stackblitz.com/edit/react-ts-9a9n67?file=App.tsx
const categories = [
  'electronics',
  'jewelery',
  ""men's clothing"",
  ""women's clothing"",
];

const allProducts = [
  {
    id: 1,
    title: 'Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops',
    price: 109.95,
    category: 'electronics',
    rating: { rate: 3.9, count: 120 },
  },
  {
    id: 2,
    title: 'Mens Casual Premium Slim Fit T-Shirts ',
    price: 22.3,
    category: ""men's clothing"",
    rating: { rate: 4.1, count: 259 },
  },
  {
    id: 3,
    title: 'Mens Cotton Jacket',
    price: 55.99,
    category: ""men's clothing"",
    rating: { rate: 4.7, count: 500 },
  },
  {
    id: 4,
    title: 'Womens Dress',
    price: 15.99,
    category: ""women's clothing"",
    rating: { rate: 2.1, count: 430 },
  },
  {
    id: 5,
    title:
      ""John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet"",
    price: 695,
    category: 'jewelery',
    rating: { rate: 4.6, count: 400 },
  },
];

export default function App() {
  let [categoryFilters, setcategoryFilters] = useState(new Set());

  function updateFilters(checked, categoryFilter) {
    if (checked)
      setcategoryFilters((prev) => new Set(prev).add(categoryFilter));
    if (!checked)
      setcategoryFilters((prev) => {
        const next = new Set(prev);
        next.delete(categoryFilter);
        return next;
      });
  }

  const filteredProducts =
    categoryFilters.size === 0
      ? allProducts
      : allProducts.filter((p) => categoryFilters.has(p.category));

  return (
    <div>
      <div className=""d-flex justify-content-evenly"">
        {categories.map((elm, index) => {
          return (
            <div className=""form-check ms-2"" key={index}>
              <label className=""form-check-label"">
                <input
                  className=""form-check-input""
                  type=""checkbox""
                  onChange={(e) => updateFilters(e.target.checked, elm)}
                />
                {elm}
              </label>
            </div>
          );
        })}
      </div>
      <div className=""d-flex flex-wrap"">
        {filteredProducts.map((prod) => {
          return (
            <div className=""card m-3"" style={{ width: '400px' }} key={prod.id}>
              <div className=""card-body"">
                <p className=""card-text"">Id: {prod.id}</p>
                <h3 className=""card-title"">Title: {prod.title}</h3>
                <p className=""card-text"">Price: {prod.price}</p>
                <p className=""card-text"">Category: {prod.category}</p>
                <p className=""card-text"">Rating: {prod.rating.rate}</p>
              </div>
            </div>
          );
        })}
      </div>
    </div>
  );
}",2022-11-26 20:33:42Z,1
24,74584926,codinn.dev,15755662,"Simple Solution (with updated data model for category array)
const [category, setCategory] = useState([{value : ""electronics"", isChecked: false},{value : ""jewelery"", isChecked: false},{value : ""men's clothing"", isChecked: false},{value : ""women's clothing"", isChecked: false}]);
  const [products, setProducts] = useState([
    {""id"":1,""title"":""Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops"",""price"":109.95,""category"":""electronics"", ""rating"":{""rate"":3.9,""count"":120}},
    {""id"":2,""title"":""Mens Casual Premium Slim Fit T-Shirts "",""price"":22.3, ""category"":""men's clothing"",""rating"":{""rate"":4.1,""count"":259}},
    {""id"":3,""title"":""Mens Cotton Jacket"",""price"":55.99, ""category"":""men's clothing"",""rating"":{""rate"":4.7,""count"":500}},
    {""id"":4,""title"":""Womens Dress"",""price"":15.99, ""category"":""women's clothing"" ,""rating"":{""rate"":2.1,""count"":430}},
    {""id"":5,""title"":""John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet"",""price"":695, ""category"":""jewelery"",""rating"":{""rate"":4.6,""count"":400}}
  ])

  let [newProducts, setNewProducts] = useState([]);

  const filterProducts = (e) => {
    const categories = [...category];
    const cat = categories.filter((cat)=>cat.value ===  e.target.value);
    cat[0].isChecked = e.target.checked;
    setCategory([...categories]);

    const tempProduct = [];
    for(let c of categories){
      if(c.isChecked){
        tempProduct.push(...products.filter((a) => a.category === c.value));
      }
    }

    setNewProducts([...tempProduct]);
  }

  return <div>
    <div className='d-flex justify-content-evenly'>
        {
            category.map((elm, index) => {
                return <div className=""form-check ms-2"" key={index}>
                    <input className=""form-check-input"" type=""checkbox"" value={elm.value} id=""flexCheckDefault"" onChange={filterProducts}/>
                    <label className=""form-check-label"" htmlFor=""flexCheckDefault"">
                        {elm.value}
                    </label>
                </div>
            })
        }
    </div>
    <div className='d-flex flex-wrap'>
    {
       (newProducts.length === 0 ? products : newProducts).map((prod) => {
        return  <div className='card m-3' style={{ width: ""400px"" }} key={prod.id}>
        <div className='card-body'>
            <p className='card-text'>Id: {prod.id}</p>
            <h3 className='card-title'>Title: {prod.title}</h3>
            <p className='card-text'>Price: {prod.price}</p>
            <p className='card-text'>Category: {prod.category}</p>
            <p className='card-text'>Rating: {prod.rating.rate}</p>
        </div>
    </div>

      })
    }
    </div>
   </div>",2022-11-26 19:48:10Z,1
25,74584926,John Li,20436957,"Here is a minimal solution works without useEffect or changing category and products.
A few issues that can be addressed in posted code:
Each input need to have an unique id which matches htmlFor on label for the pair to work together.
When filterProducts sets a new state value, it does not get the updated value in the same block. Only use this event to set the filters in toCheck.
The value type of toCheck can an object of [category]: Boolean so each category can be filtered separately, and filters can be combined as well.
The original products can be filtered before mapped, so there is no need to keep another state of newProducts, or to modify products data.
Example (live demo: stackblitz)
import React, { useState } from 'react';
import './style.css';

export default function App() {
  const [category, setCategory] = useState([
    'electronics',
    'jewelery',
    ""men's clothing"",
    ""women's clothing"",
  ]);
  const [products, setProducts] = useState([
    {
      id: 1,
      title: 'Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops',
      price: 109.95,
      category: 'electronics',
      rating: { rate: 3.9, count: 120 },
    },
    {
      id: 2,
      title: 'Mens Casual Premium Slim Fit T-Shirts ',
      price: 22.3,
      category: ""men's clothing"",
      rating: { rate: 4.1, count: 259 },
    },
    {
      id: 3,
      title: 'Mens Cotton Jacket',
      price: 55.99,
      category: ""men's clothing"",
      rating: { rate: 4.7, count: 500 },
    },
    {
      id: 4,
      title: 'Womens Dress',
      price: 15.99,
      category: ""women's clothing"",
      rating: { rate: 2.1, count: 430 },
    },
    {
      id: 5,
      title:
        ""John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet"",
      price: 695,
      category: 'jewelery',
      rating: { rate: 4.6, count: 400 },
    },
  ]);

  const [toCheck, setToCheck] = useState({});

  const filterProducts = (value) =>
    setToCheck((prev) => {
      return { ...prev, [value]: !!!prev[value] };
    });

  return (
    <div>
      <div className=""d-flex justify-content-evenly"">
        {category.map((elm, index) => {
          return (
            <div className=""form-check ms-2"" key={index}>
              <input
                className=""form-check-input""
                type=""checkbox""
                value={elm}
                id={`flexCheckDefault-${index}`}
                onChange={(e) => filterProducts(e.target.value)}
              />
              <label
                className=""form-check-label""
                htmlFor={`flexCheckDefault-${index}`}
              >
                {elm}
              </label>
            </div>
          );
        })}
      </div>
      <div className=""d-flex flex-wrap"">
        {products
          .filter((prod) =>
            Object.keys(toCheck).length === 0 ? true : !!toCheck[prod.category]
          )
          .map((prod) => {
            return (
              <div
                className=""card m-3""
                style={{ width: '400px' }}
                key={prod.id}
              >
                <div className=""card-body"">
                  <p className=""card-text"">Id: {prod.id}</p>
                  <h3 className=""card-title"">Title: {prod.title}</h3>
                  <p className=""card-text"">Price: {prod.price}</p>
                  <p className=""card-text"">Category: {prod.category}</p>
                  <p className=""card-text"">Rating: {prod.rating.rate}</p>
                </div>
              </div>
            );
          })}
      </div>
    </div>
  );
}",2022-11-26 20:30:55Z,1
26,74584924,Marek Rozmus,6738911,"From the test I see that you are using react testing library. In this case you should ""interact"" with your component inside the test and check if the component reacts properly.
The test for spinner should be like that:
render the component
find the email input field and ""type"" there an email - use one of getBy* methods and then type with e.g. fireEvent.change(input, {target: {value: 'test@example.com'}})
find the password input field and ""type"" there a password - same as above
find the submit button and ""click"" it - use one of getBy* methods to find it and then use fireEvent to click it
this (I assume) should trigger your onSubmit which will call the handleLogin callback which will update the state and that will render the spinner.
check if spinner is in the document.
Most probably you would need some mocking for your userAccountAPI so it calls a mock function and not some real API. In here you can also mock that API to return whatever response you want and check if component displays correct content.",2022-11-27 15:15:27Z,0
27,74584923,,,,,
28,74584919,,,,,
29,74584917,Enfield li,16648127,"Custom hook names should always start with lower case use (see beta docs), so change to useMessage.",2022-11-26 20:46:12Z,0
30,74584917,Rohit Khandelwal,15220748,"There are two things which can resolve your problem, here:
First, name your hook with lowercase use and not uppercase. The reason for that is it is wrong according to the React docs.
Here, your UseMessage is not a custom hook for React, just a javascript function. Inside it, you are using useState which is a hook and React won't allow that. The reason is the next point.
Second, according to the rules of React you can utilise any hook only inside the body of a function component or inside the body of another hook function.",2022-11-26 21:02:53Z,0
31,74584914,,,,,
32,14028959,canon,621962,"The element you were trying to find wasn’t in the DOM when your script ran.
The position of your DOM-reliant script can have a profound effect on its behavior. Browsers parse HTML documents from top to bottom. Elements are added to the DOM and scripts are (generally) executed as they're encountered. This means that order matters. Typically, scripts can't find elements that appear later in the markup because those elements have yet to be added to the DOM.
Consider the following markup; script #1 fails to find the <div> while script #2 succeeds:
<script>
  console.log(""script #1:"", document.getElementById(""test"")); // null
</script>
<div id=""test"">test div</div>
<script>
  console.log(""script #2:"", document.getElementById(""test"")); // <div id=""test"" ...
</script>
Run code snippetExpand snippet
So, what should you do? You've got a few options:
Option 1: Move your script
Given what we've seen in the example above, an intuitive solution might be to simply move your script down the markup, past the elements you'd like to access. In fact, for a long time, placing scripts at the bottom of the page was considered a best practice for a variety of reasons. Organized in this fashion, the rest of the document would be parsed before executing your script:
<body>
  <button id=""test"">click me</button>
  <script>
    document.getElementById(""test"").addEventListener(""click"", function() {
      console.log(""clicked:"", this);
    });
  </script>
</body><!-- closing body tag -->
Run code snippetExpand snippet
While this makes sense and is a solid option for legacy browsers, it's limited and there are more flexible, modern approaches available.
Option 2: The defer attribute
While we did say that scripts are, ""(generally) executed as they're encountered,"" modern browsers allow you to specify a different behavior. If you're linking an external script, you can make use of the defer attribute.
[defer, a Boolean attribute,] is set to indicate to a browser that the script is meant to be executed after the document has been parsed, but before firing DOMContentLoaded.
This means that you can place a script tagged with defer anywhere, even the <head>, and it should have access to the fully realized DOM.
<script src=""https://gh-canon.github.io/misc-demos/log-test-click.js"" defer></script>
<button id=""test"">click me</button>
Run code snippetExpand snippet
Just keep in mind...
defer can only be used for external scripts, i.e.: those having a src attribute.
be aware of browser support, i.e.: buggy implementation in IE < 10
Option 3: Modules
Depending upon your requirements, you may be able to utilize JavaScript modules. Among other important distinctions from standard scripts (noted here), modules are deferred automatically and are not limited to external sources.
Set your script's type to module, e.g.:
<script type=""module"">
  document.getElementById(""test"").addEventListener(""click"", function(e) {
    console.log(""clicked: "", this);
  });
</script>
<button id=""test"">click me</button>
Run code snippetExpand snippet
Option 4: Defer with event handling
Add a listener to an event that fires after your document has been parsed.
DOMContentLoaded event
DOMContentLoaded fires after the DOM has been completely constructed from the initial parse, without waiting for things like stylesheets or images to load.
<script>
  document.addEventListener(""DOMContentLoaded"", function(e){
    document.getElementById(""test"").addEventListener(""click"", function(e) {
      console.log(""clicked:"", this);
    });
  });
</script>
<button id=""test"">click me</button>
Run code snippetExpand snippet
Window: load event
The load event fires after DOMContentLoaded and additional resources like stylesheets and images have been loaded. For that reason, it fires later than desired for our purposes. Still, if you're considering older browsers like IE8, the support is nearly universal. Granted, you may want a polyfill for addEventListener().
<script>
  window.addEventListener(""load"", function(e){
    document.getElementById(""test"").addEventListener(""click"", function(e) {
      console.log(""clicked:"", this);
    });
  });
</script>
<button id=""test"">click me</button>
Run code snippetExpand snippet
jQuery's ready()
DOMContentLoaded and window:load each have their caveats. jQuery's ready() delivers a hybrid solution, using DOMContentLoaded when possible, failing over to window:load when necessary, and firing its callback immediately if the DOM is already complete.
You can pass your ready handler directly to jQuery as $(handler), e.g.:
<script src=""https://code.jquery.com/jquery-3.6.0.js"" integrity=""sha256-H+K7U5CnXl1h5ywQfKtSj8PCmoN9aaq30gDh27Xc0jk="" crossorigin=""anonymous""></script>
<script>
  $(function() {
    $(""#test"").click(function() {
      console.log(""clicked:"", this);
    });
  });
</script>
<button id=""test"">click me</button>
Run code snippetExpand snippet
Option 5: Event Delegation
Delegate the event handling to an ancestor of the target element.
When an element raises an event (provided that it's a bubbling event and nothing stops its propagation), each parent in that element's ancestry, all the way up to window, receives the event as well. That allows us to attach a handler to an existing element and sample events as they bubble up from its descendants... even from descendants added after the handler was attached. All we have to do is check the event to see whether it was raised by the desired element and, if so, run our code.
Typically, this pattern is reserved for elements that don't exist at load time or to avoid attaching a large number of duplicate handlers. For efficiency, select the nearest reliable ancestor of the target element rather than attaching it to the document.
Native JavaScript
<div id=""ancestor""><!-- nearest ancestor available to our script -->
  <script>
    document.getElementById(""ancestor"").addEventListener(""click"", function(e) {
      if (e.target.id === ""descendant"") {
        console.log(""clicked:"", e.target);
      }
    });
  </script>
  <button id=""descendant"">click me</button>
</div>
Run code snippetExpand snippet
jQuery's on()
jQuery makes this functionality available through on(). Given an event name, a selector for the desired descendant, and an event handler, it will resolve your delegated event handling and manage your this context:
<script src=""https://code.jquery.com/jquery-3.6.0.js"" integrity=""sha256-H+K7U5CnXl1h5ywQfKtSj8PCmoN9aaq30gDh27Xc0jk="" crossorigin=""anonymous""></script>
<div id=""ancestor""><!-- nearest ancestor available to our script -->
  <script>
    $(""#ancestor"").on(""click"", ""#descendant"", function(e) {
      console.log(""clicked:"", this);
    });
  </script>
  <button id=""descendant"">click me</button>
</div>
Run code snippetExpand snippet",2022-05-02 14:00:52Z,591
33,14028959,"12 revs, 4 users 83%",14028960,"Short and simple: Because the elements you are looking for do not exist in the document (yet).
For the remainder of this answer I will use getElementById for examples, but the same applies to getElementsByTagName, querySelector, and any other DOM method that selects elements.
Possible Reasons
There are three reasons why an element might not exist:
An element with the passed ID really does not exist in the document. You should double check that the ID you pass to getElementById really matches an ID of an existing element in the (generated) HTML and that you have not misspelled the ID (IDs are case-sensitive!).
If you're using getElementById, be sure you're only giving the ID of the element (e.g., document.getElemntById(""the-id"")). If you're using a method that accepts a CSS selector (like querySelector), be sure you're including the # before the ID to indicate you're looking for an ID (e.g., document.querySelector(""#the-id"")). You must not use the # with getElementById, and must use it with querySelector and similar. Also note that if the ID has characters in it that aren't valid in CSS identifiers (such as a .; id attributes containing . characters are poor practice, but valid), you have to escape those when using querySelector (document.querySelector(""#the\\.id""))) but not when using getElementById (document.getElementById(""the.id"")).
The element does not exist at the moment you call getElementById.
The element isn't in the document you're querying even though you can see it on the page, because it's in an iframe (which is its own document). Elements in iframes aren't searched when you search the document that contains them.
If the problem is reason 3 (it's in an iframe or similar), you need to look through the document in the iframe, not the parent document, perhaps by getting the iframe element and using its contentDocument property to access its document (same-origin only). The rest of this answer addresses the first two reasons.
The second reason — it's not there yet — is quite common. Browsers parse and process the HTML from top to bottom. That means that any call to a DOM element which occurs before that DOM element appears in the HTML, will fail.
Consider the following example:
<script>
    var element = document.getElementById('my_element');
</script>

<div id=""my_element""></div>
The div appears after the script. At the moment the script is executed, the element does not exist yet and getElementById will return null.
jQuery
The same applies to all selectors with jQuery. jQuery won't find elements if you misspelled your selector or you are trying to select them before they actually exist.
An added twist is when jQuery is not found because you have loaded the script without protocol and are running from file system:
<script src=""//somecdn.somewhere.com/jquery.min.js""></script>
this syntax is used to allow the script to load via HTTPS on a page with protocol https:// and to load the HTTP version on a page with protocol http://
It has the unfortunate side effect of attempting and failing to load file://somecdn.somewhere.com...
Solutions
Before you make a call to getElementById (or any DOM method for that matter), make sure the elements you want to access exist, i.e. the DOM is loaded.
This can be ensured by simply putting your JavaScript after the corresponding DOM element
<div id=""my_element""></div>

<script>
    var element = document.getElementById('my_element');
</script>
in which case you can also put the code just before the closing body tag (</body>) (all DOM elements will be available at the time the script is executed).
Other solutions include listening to the load [MDN] or DOMContentLoaded [MDN] events. In these cases it does not matter where in the document you place the JavaScript code, you just have to remember to put all DOM processing code in the event handlers.
Example:
window.onload = function() {
    // process DOM elements here
};

// or

// does not work IE 8 and below
document.addEventListener('DOMContentLoaded', function() {
    // process DOM elements here
});
Please see the articles at quirksmode.org for more information regarding event handling and browser differences.
jQuery
First make sure that jQuery is loaded properly. Use the browser's developer tools to find out whether the jQuery file was found and correct the URL if it wasn't (e.g. add the http: or https: scheme at the beginning, adjust the path, etc.)
Listening to the load/DOMContentLoaded events is exactly what jQuery is doing with .ready() [docs]. All your jQuery code that affects DOM element should be inside that event handler.
In fact, the jQuery tutorial explicitly states:
As almost everything we do when using jQuery reads or manipulates the document object model (DOM), we need to make sure that we start adding events etc. as soon as the DOM is ready.
To do this, we register a ready event for the document.
$(document).ready(function() {
   // do stuff when DOM is ready
});
Alternatively you can also use the shorthand syntax:
$(function() {
    // do stuff when DOM is ready
});
Both are equivalent.",2021-08-31 08:42:48Z,167
34,14028959,Peter Mortensen,63550,"Reasons why id based selectors don't work
The element/DOM with id specified doesn't exist yet.
The element exists, but it is not registered in DOM [in case of HTML nodes appended dynamically from Ajax responses].
More than one element with the same id is present which is causing a conflict.
Solutions
Try to access the element after its declaration or alternatively use stuff like $(document).ready();
For elements coming from Ajax responses, use the .bind() method of jQuery. Older versions of jQuery had .live() for the same.
Use tools [for example, webdeveloper plugin for browsers] to find duplicate ids and remove them.",2017-11-12 00:54:00Z,18
35,14028959,Community,-1,"If the element you are trying to access is inside an iframe and you try to access it outside the context of the iframe this will also cause it to fail.
If you want to get an element in an iframe you can find out how here.",2017-05-23 12:18:24Z,16
36,14028959,Nathan Bubna,8131,"As @FelixKling pointed out, the most likely scenario is that the nodes you are looking for do not exist (yet).
However, modern development practices can often manipulate document elements outside of the document tree either with DocumentFragments or simply detaching/reattaching current elements directly. Such techniques may be used as part of JavaScript templating or to avoid excessive repaint/reflow operations while the elements in question are being heavily altered.
Similarly, the new ""Shadow DOM"" functionality being rolled out across modern browsers allows elements to be part of the document, but not query-able by document.getElementById and all of its sibling methods (querySelector, etc.). This is done to encapsulate functionality and specifically hide it.
Again, though, it is most likely that the element you are looking for simply is not (yet) in the document, and you should do as Felix suggests. However, you should also be aware that that is increasingly not the only reason that an element might be unfindable (either temporarily or permanently).",2013-12-06 17:29:33Z,14
